,index,Trade,JPM,JPM_stock,Order,Shares,cash,equity_value,port_value,market_impact,Symbol,prev_cash
135,2008-07-16,0.0,33.42,1000,HOLD,0.0,1091450.0,33420.0,1124870.0,0.0,JPM,1091450.0
136,2008-07-17,-2000.0,37.94,-1000,SELL,2000.0,1167330.0,-37940.0,1129390.0,0.0,JPM,1091450.0
137,2008-07-18,0.0,37.21,-1000,HOLD,0.0,1167330.0,-37210.0,1130120.0,0.0,JPM,1167330.0
138,2008-07-21,2000.0,35.94,1000,BUY,2000.0,1095450.0,35940.0,1131390.0,0.0,JPM,1167330.0
139,2008-07-22,0.0,38.0,1000,HOLD,0.0,1095450.0,38000.0,1133450.0,0.0,JPM,1095450.0
140,2008-07-23,-2000.0,39.02,-1000,SELL,2000.0,1173490.0,-39020.0,1134470.0,0.0,JPM,1095450.0
141,2008-07-24,2000.0,36.4,1000,BUY,2000.0,1100690.0,36400.0,1137090.0,0.0,JPM,1173490.0
142,2008-07-25,-2000.0,36.75,-1000,SELL,2000.0,1174190.0,-36750.0,1137440.0,0.0,JPM,1100690.0
143,2008-07-28,2000.0,35.02,1000,BUY,2000.0,1104150.0,35020.0,1139170.0,0.0,JPM,1174190.0
144,2008-07-29,0.0,37.89,1000,HOLD,0.0,1104150.0,37890.0,1142040.0,0.0,JPM,1104150.0
145,2008-07-30,-2000.0,38.66,-1000,SELL,2000.0,1181470.0,-38660.0,1142810.0,0.0,JPM,1104150.0
146,2008-07-31,2000.0,37.78,1000,BUY,2000.0,1105910.0,37780.0,1143690.0,0.0,JPM,1181470.0
147,2008-08-01,-2000.0,37.9,-1000,SELL,2000.0,1181710.0,-37900.0,1143810.0,0.0,JPM,1105910.0
148,2008-08-04,2000.0,37.33,1000,BUY,2000.0,1107050.0,37330.0,1144380.0,0.0,JPM,1181710.0
149,2008-08-05,-2000.0,38.95,-1000,SELL,2000.0,1184950.0,-38950.0,1146000.0,0.0,JPM,1107050.0
150,2008-08-06,0.0,38.49,-1000,HOLD,0.0,1184950.0,-38490.0,1146460.0,0.0,JPM,1184950.0
151,2008-08-07,2000.0,37.02,1000,BUY,2000.0,1110910.0,37020.0,1147930.0,0.0,JPM,1184950.0
152,2008-08-08,0.0,38.19,1000,HOLD,0.0,1110910.0,38190.0,1149100.0,0.0,JPM,1110910.0
153,2008-08-11,-2000.0,38.95,-1000,SELL,2000.0,1188810.0,-38950.0,1149860.0,0.0,JPM,1110910.0
154,2008-08-12,0.0,35.26,-1000,HOLD,0.0,1188810.0,-35260.0,1153550.0,0.0,JPM,1188810.0
155,2008-08-13,2000.0,34.32,1000,BUY,2000.0,1120170.0,34320.0,1154490.0,0.0,JPM,1188810.0
156,2008-08-14,0.0,35.16,1000,HOLD,0.0,1120170.0,35160.0,1155330.0,0.0,JPM,1120170.0
157,2008-08-15,-2000.0,35.4,-1000,SELL,2000.0,1190970.0,-35400.0,1155570.0,0.0,JPM,1120170.0
158,2008-08-18,0.0,34.16,-1000,HOLD,0.0,1190970.0,-34160.0,1156810.0,0.0,JPM,1190970.0
159,2008-08-19,2000.0,33.09,1000,BUY,2000.0,1124790.0,33090.0,1157880.0,0.0,JPM,1190970.0
160,2008-08-20,-2000.0,34.41,-1000,SELL,2000.0,1193610.0,-34410.0,1159200.0,0.0,JPM,1124790.0
