,0
2009-07-14,1014896.1
2009-07-15,1016376.1
2009-07-16,1016256.1
2009-07-17,1016635.05
2009-07-20,1016545.05
2009-07-21,1016585.05
2009-07-22,1016685.05
2009-07-23,1015435.05
2009-07-24,1015655.05
2009-07-27,1015455.05
2009-07-28,1015495.05
2009-07-29,1015795.05
2009-07-30,1015125.05
2009-07-31,1014955.05
2009-08-03,1014055.05
2009-08-04,1013475.05
2009-08-05,1011975.05
2009-08-06,1012955.05
2009-08-07,1011425.05
2009-08-10,1011115.05
2009-08-11,1012495.05
2009-08-12,1011565.05
2009-08-13,1010915.05
2009-08-14,1011345.05
2009-08-17,1012975.05
2009-08-18,1012055.05
2009-08-19,1012335.05
2009-08-20,1011365.05
2009-08-21,1010185.05
2009-08-24,1010805.05
2009-08-25,1010265.05
2009-08-26,1010535.05
2009-08-27,1010385.05
2009-08-28,1010895.05
2009-08-31,1010375.05
2009-09-01,1012085.05
2009-09-02,1012456.3
2009-09-03,1013646.3
2009-09-04,1013866.3
2009-09-08,1014056.3
2009-09-09,1014356.3
2009-09-10,1014516.3
2009-09-11,1014016.3
2009-09-14,1015206.3
2009-09-15,1014676.3
2009-09-16,1015651.3500000001
2009-09-17,1015361.3500000001
2009-09-18,1015371.3500000001
2009-09-21,1015751.3500000001
2009-09-22,1013921.3500000001
2009-09-23,1015261.3500000001
2009-09-24,1015921.3500000001
2009-09-25,1016601.3500000001
2009-09-28,1015501.3500000001
2009-09-29,1015431.3500000001
2009-09-30,1016441.3500000001
2009-10-01,1018771.3500000001
2009-10-02,1018261.3500000001
2009-10-05,1016411.3500000001
2009-10-06,1015351.3500000001
2009-10-07,1014601.3500000001
2009-10-08,1014981.3500000001
2009-10-09,1014461.3500000001
2009-10-12,1014241.3500000001
2009-10-13,1014641.3500000001
2009-10-14,1013211.3500000001
2009-10-15,1013211.3500000001
2009-10-16,1014261.3500000001
2009-10-19,1014331.3500000001
2009-10-20,1014291.3500000001
2009-10-21,1015601.3500000001
2009-10-22,1014591.3500000001
2009-10-23,1015051.3500000001
2009-10-26,1015963.9000000001
2009-10-27,1016033.9000000001
2009-10-28,1014873.9000000001
2009-10-29,1016463.9000000001
2009-10-30,1014013.9000000001
2009-11-02,1014783.9000000001
2009-11-03,1014893.9000000001
2009-11-04,1014423.9000000001
2009-11-05,1016013.9000000001
2009-11-06,1015633.9000000001
2009-11-09,1016463.9000000001
2009-11-10,1016293.9000000001
2009-11-11,1016443.9000000001
2009-11-12,1015463.9000000001
2009-11-13,1015083.9000000001
2009-11-16,1015223.9000000001
2009-11-17,1015333.9000000001
2009-11-18,1015543.9000000001
2009-11-19,1014753.9000000001
2009-11-20,1014663.9000000001
2009-11-23,1015443.9000000001
2009-11-24,1014683.9000000001
2009-11-25,1014383.9000000001
2009-11-27,1013593.9000000001
2009-11-30,1014693.9000000001
2009-12-01,1014433.9000000001
2009-12-02,1014163.9000000001
2009-12-03,1013653.9000000001
2009-12-04,1013983.9000000001
2009-12-07,1013513.9000000001
2009-12-08,1013473.9000000001
2009-12-09,1013453.9000000001
2009-12-10,1013533.9000000001
2009-12-11,1013233.9000000001
2009-12-14,1014013.9000000001
2009-12-15,1013143.9000000001
2009-12-16,1013623.9000000001
2009-12-17,1012583.9000000001
2009-12-18,1013223.9000000001
2009-12-21,1014133.9000000001
2009-12-22,1014173.9000000001
2009-12-23,1013813.9000000001
2009-12-24,1014123.9000000001
2009-12-28,1013963.9000000001
2009-12-29,1013743.9000000001
2009-12-30,1013783.9000000001
2009-12-31,1013913.9000000001
